NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME_DA_EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
10 DOCES BOMBONIERE LTDA - ME;16/03/2017;1339592;10 DOCES;16/11/2017;***;COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEME;***;***;AV. JOSÉ GULIN;265;***;***;***;BACACHERI;82600360
10 DOCES BOMBONIERE LTDA - ME;21/07/2017;1377117;10 DOCES;02/07/2018;***;COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEME;***;***;AV. NOSSA SENHORA DE LOURDES;63;***;***;***;JARDIM DAS AMÉRICAS;81530020
10+ SOLUCOES EMPRESARIAIS EIRELI;29/03/2018;1384090;10+ SOLUCOES EMPRESARIAIS EIRELI;13/08/2018;***;ATIVIDADES DE INTERMEDIAÇÃO E AGENCIAMENTO DE SERV;SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINIST;GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS;R. COMENDADOR ARAÚJO;143;54;***;***;CENTRO;80420000
100 BEER COMERCIO DE ALIMENTOS E BEBIDAS EIRELI;07/05/2019;1430184;100 BEER;07/05/2019;22/07/2019;RESTAURANTES E SIMILARES;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM;***;AV. VICTOR FERREIRA DO AMARAL;2633;L2065;L02;***;TARUMÃ;82810350
100 FREIOS-SERV COM FREIOS LTDA;01/10/1989;191006;100 FREIOS-SERV COM FREIOS LTDA;07/08/1991;***;SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍ;COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA;***;R. CEARÁ;253;***;***;***;PAROLIN;80220260
100 NOCAO FUT 7;13/09/2017;1335345;100 NOCAO FUT 7;17/10/2017;***;CLUBES SOCIAIS, ESPORTIVOS E SIMILARES;***;***;R. SEBASTIÃO ROSA LIMA;561;***;***;***;XAXIM;81720090
100 POR CENTO CARNES E CHURRASCO LTDA;18/02/2010;927490;100 POR CENTO CARNES E CHURRASCO LTDA;22/03/2010;31/12/2010;COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES;COMÉRCIO VAREJISTA DE CARNES ASSADAS (SEM CONSUMO;COMÉRCIO VAREJISTA DE BEBIDAS;AV. IGUAÇÚ;2751;***;***;***;ÁGUA VERDE;80240030
100 RUIDO TRATAMENTO ACUSTICO AUTOMOTIVO LTDA -ME;20/09/2007;863790;100 RUIDO TRATAMENTO ACUSTICO AUTOMOTIVO LTDA -ME;26/02/2009;31/12/2009;SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍ;SERVIÇOS DE INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE;***;R. NILO CAIRO;159;***;***;***;CENTRO;80060050
100% FRUTA COMERCIO DE SORVETES - EIRELI - ME;14/08/2015;1343295;100% FRUTA;12/12/2017;***;COMÉRCIO ATACADISTA DE SORVETES;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;***;R. ALFERES POLI;1982;***;***;***;REBOUÇAS;80220050
100% AREA DE LAZER COMERCIO DE MATERIAIS ESPORTIVO;03/01/2014;1404460;AF COMERCIO DE MATERIAIS ESPORTIVOS LTDA - ME;06/12/2018;***;COMÉRCIO VAREJISTA DE ARTIGOS ESPORTIVOS;COMÉRCIO VAREJISTA DE MÓVEIS;***;R. 24 DE MAIO;1278;***;***;***;REBOUÇAS;80220060
